sec,cpu_pct,rss_mb,vsz_mb,threads,fd_count,temp_c,io_read_kbps,io_write_kbps,ctx_switches_ps,net_rx_kbps,net_tx_kbps,rknpu_pct
0,0.00,1.24,28.10,1,6,34.2,1932.00,0.00,28,0.57,0.94,-1
1,2.07,38.42,923.36,13,71,35.2,16624.00,0.00,204,8.93,68.50,-1
2,7.57,39.93,923.80,13,71,34.2,472.00,0.00,676,0.99,1.02,-1
3,7.42,39.93,923.80,13,71,35.2,0.00,0.00,558,6.17,5.70,-1
4,7.18,39.93,923.80,13,71,35.2,0.00,0.00,594,3.97,9.50,-1
5,7.15,39.93,923.80,13,71,36.1,0.00,0.00,674,19.52,19.65,-1
6,7.22,39.93,923.80,13,71,35.2,0.00,0.00,540,0.65,0.48,-1
